filename,dendrite_length,dendrite_width,spine_numbers,avg_spine_length,total_spine_length
1-4 63x-1 44.910.csv,44.91,0.854,21,1.282571429,26.934
2-1 63x  mvl 35.348.csv,35.348,0.844,15,1.3164,19.746
2-1 63x 1-3 1 35.987 0.932.csv,35.987,0.932,17,1.319411765,22.43
2-1 63x 1-3 2 17.226 0.924.csv,17.226,0.924,9,1.398222222,12.584
2-1 63x 1-3 3 14.613.csv,14.613,0.426,13,0.801769231,10.423
2-1 63x 1-4 17.471.csv,17.471,0.472,15,0.913666667,13.705
2-1 63x 2-1 16.799.csv,16.799,0.713,9,1.236888889,11.132
p-11 9.481.csv,9.481,0.757,12,0.852666667,10.232
p-11-4 27.349.csv,27.349,0.879,15,1.348933333,20.234
p-11_2 18.801.csv,18.801,0.543,17,1.423941176,24.207
p-11_3 22.088.csv,22.088,1.151,12,1.253666667,15.044
p-12 69.707.csv,69.707,1.179,41,1.118829268,45.872
p-3-2 28.212.csv,28.212,1.055,14,1.604071429,22.457
p-4-1 26.047.csv,26.047,0.71,20,0.90765,18.153
p-4-1_2  16.294.csv,16.294,0.597,15,0.747666667,11.215
p-4-2_1 19.234.csv,19.234,1.475,9,1.766222222,15.896
p-4-2_2 39.358.csv,39.358,1.058,17,1.665941176,28.321
p-4-2_3 26.407.csv,26.407,1.008,8,2.627,21.016
